"EAN","IMG","Price","_type","name"
"4010355106186","https://cdn02.dm-static.com/images/mediacatalog/h4010355106186-891027/productimage_170x260/1507189822000/4010355106186-891027_org.png","0,85 €","DmBotItem","Professional 1-Minute Intensivkur Colorschutz "
"4010355106025","https://cdn02.dm-static.com/images/mediacatalog/h4010355106025-877747/productimage_170x260/1507189830000/4010355106025-877747_org.png","0,85 €","DmBotItem","Professional 1-Minute Intensivkur Glossy Braun "
"4010355120236","https://cdn02.dm-static.com/images/mediacatalog/h4010355120236-895829/productimage_170x260/1506583834000/4010355120236-895829_org.png","1,95 €","DmBotItem","Reinigungsmilch VITAL Pflegende Reinigungsmilch"
"4010355295323","https://cdn02.dm-static.com/images/mediacatalog/h4010355295323-1256797/productimage_170x260/1507284017000/4010355295323-1256797_org.png","0,85 €","DmBotItem","Deo Spray Himbeere & Rhabarber"
"4010355341471","https://cdn02.dm-static.com/images/mediacatalog/h4010355341471-1287261/productimage_170x260/1507284016000/4010355341471-1287261_org.png","0,55 €","DmBotItem","Deo Roll-on Himbeere & Rhabarb"
"4010355341310","https://cdn02.dm-static.com/images/mediacatalog/h4010355341310-1301083/productimage_170x260/1507287607000/4010355341310-1301083_org.png","0,50 €","DmBotItem","Spülung Intensivpflege"
"4010355340351","https://cdn02.dm-static.com/images/mediacatalog/h4010355340351-1282784/productimage_170x260/1507284032000/4010355340351-1282784_org.png","1,95 €","DmBotItem","Soft & Clear 3in1 Aktivkohle"
"4010355335975","https://cdn02.dm-static.com/images/mediacatalog/h4010355335975-1290289/productimage_170x260/1512635706000/4010355335975-1290289_org.png","1,45 €","DmBotItem","Handschaum Raspberry Party Himbeere"
"4010355335999","https://cdn02.dm-static.com/images/mediacatalog/h4010355335999-1290290/productimage_170x260/1507284061000/4010355335999-1290290_org.png","1,45 €","DmBotItem","Handschaum Cake Pop Mandel"
"4010355341273","https://cdn02.dm-static.com/images/mediacatalog/h4010355341273-1290865/productimage_170x260/1507286439000/4010355341273-1290865_org.png","0,50 €","DmBotItem","Spülung Seidenglanz"
"4010355341174","https://cdn02.dm-static.com/images/mediacatalog/h4010355341174-1300145/productimage_170x260/1507287009000/4010355341174-1300145_org.png","0,50 €","DmBotItem","Spülung Feuchtigkeit"
"4010355409454","https://cdn02.dm-static.com/images/mediacatalog/h4010355409454-1301096/productimage_170x260/1508228859000/4010355409454-1301096_org.png","0,95 €","DmBotItem","Duschgel Sport & Refresh"
"4010355383334","https://cdn02.dm-static.com/images/mediacatalog/h4010355383334-1300598/productimage_170x260/1507286428000/4010355383334-1300598_org.png","1,35 €","DmBotItem","Kompakt Deo Spray Supreme Dream"
"4010355420459","https://cdn02.dm-static.com/images/mediacatalog/h4010355420459-1302180/productimage_170x260/1511406276000/4010355420459-1302180_org.png","1,25 €","DmBotItem","Pflegecreme"
"4010355420596","https://cdn02.dm-static.com/images/mediacatalog/h4010355420596-1302177/productimage_170x260/1511406267000/4010355420596-1302177_org.png","0,55 €","DmBotItem","Flüssigseife Ginger & Lemon"
"4010355409515","https://cdn02.dm-static.com/images/mediacatalog/h4010355409515-1307265/productimage_170x260/1507286431000/4010355409515-1307265_org.png","1,75 €","DmBotItem","Hydro Serum-Milch"
"4010355409171","https://cdn02.dm-static.com/images/mediacatalog/h4010355409171-1312701/productimage_170x260/1507615953000/4010355409171-1312701_org.png","0,95 €","DmBotItem","Schönheitsgeheimnisse Shampoo Cocos Wasser"
"4010355409195","https://cdn02.dm-static.com/images/mediacatalog/h4010355409195-1312703/productimage_170x260/1507618653000/4010355409195-1312703_org.png","0,95 €","DmBotItem","Schönheitsgeheimnisse Spülung Cocos Wasser"
"4010355388285","https://cdn02.dm-static.com/images/mediacatalog/h4010355388285-1324142/productimage_170x260/1507286430000/4010355388285-1324142_org.png","1,25 €","DmBotItem","Körperlotion Faultier"
"4010355369925","https://cdn02.dm-static.com/images/mediacatalog/h4010355369925-1138490/productimage_170x260/1507286427000/4010355369925-1138490_org.png","2,45 €","DmBotItem","Aqua Augencreme Augen Roll-On"
"4010355409393","https://cdn02.dm-static.com/images/mediacatalog/h4010355409393-1348208/productimage_170x260/1508315657000/4010355409393-1348208_org.png","0,50 €","DmBotItem","Shampoo Toffee Love"
"4010355491633","https://cdn02.dm-static.com/images/mediacatalog/h4010355491633-1364958/productimage_170x260/1512548054000/4010355491633-1364958_org.png","1,95 €","DmBotItem","Tiermaske Panda"
"4010355384195","https://cdn02.dm-static.com/images/mediacatalog/h4010355384195-1377479/productimage_170x260/1509459613000/4010355384195-1377479_org.png","0,95 €","DmBotItem","Deo Spray Golden Dust"
"4010355363343","https://cdn02.dm-static.com/images/mediacatalog/h4010355363343-1384426/productimage_170x260/1513904969000/4010355363343-1384426_org.png","0,65 €","DmBotItem","Haarkur Feuchtigkeit 1-Minute Soforthilfe"
"4010355491657","https://cdn02.dm-static.com/images/mediacatalog/h4010355491657-1377474/productimage_170x260/1512548082000/4010355491657-1377474_org.png","1,95 €","DmBotItem","Tiermaske Tiger"
"4010355409614","https://cdn02.dm-static.com/images/mediacatalog/h4010355409614-1377478/productimage_170x260/1512548318000/4010355409614-1377478_org.png","1,25 €","DmBotItem","Körperlotion No Drama Lama"
"4010355471802","https://cdn02.dm-static.com/images/mediacatalog/h4010355471802-1427921/productimage_170x260/1513781174000/4010355471802-1427921_org.png","0,65 €","DmBotItem","Lippenpflege Crazy Coco"
"4010355409577","https://cdn02.dm-static.com/images/mediacatalog/h4010355409577-1341560/productimage_170x260/1507201266000/4010355409577-1341560_org.png","1,25 €","DmBotItem","Körperlotion White Gloss"
"4010355275745","https://cdn02.dm-static.com/images/mediacatalog/h4010355275745-1361960/productimage_170x260/1509460855000/4010355275745-1361960_org.png","0,95 €","DmBotItem","Softe Reinigungstücher Rosa"
"4010355407566","https://cdn02.dm-static.com/images/mediacatalog/h4010355407566-1366490/productimage_170x260/1512723279000/4010355407566-1366490_org.png","1,15 €","DmBotItem","Rasiergel Sweet Berry"
"4010355296559","https://cdn02.dm-static.com/images/mediacatalog/h4010355296559-1384601/productimage_170x260/1510126456000/4010355296559-1384601_org.png","1,35 €","DmBotItem","Deo Zerstäuber Sweet Harmony"
"7702018406098","https://cdn02.dm-static.com/images/mediacatalog/h7702018406098-1282174/productimage_170x260/1507121129000/7702018406098-1282174_org.png","8,95 €","DmBotItem","Mach3 Sensitive Rasierapparat + 1 Klingen"
"7702018406128","https://cdn02.dm-static.com/images/mediacatalog/h7702018406128-874279/productimage_170x260/1507189820000/7702018406128-874279_org.png","8,95 €","DmBotItem","Mach 3 Turbo Rasierer + 1 Klinge"
"7702018406036","https://cdn02.dm-static.com/images/mediacatalog/h7702018406036-874277/productimage_170x260/1507189817000/7702018406036-874277_org.png","8,95 €","DmBotItem","Mach3 Rasierapparat + 1Klingen"
"4010355341334","https://cdn02.dm-static.com/images/mediacatalog/h4010355341334-1301087/productimage_170x260/1507284059000/4010355341334-1301087_org.png","1,95 €","DmBotItem","Haarmaske Intensivpflege "
"4010355370044","https://cdn02.dm-static.com/images/mediacatalog/h4010355370044-1300596/productimage_170x260/1507708798000/4010355370044-1300596_org.png","0,95 €","DmBotItem","Maske Multimasking"
"4010355387868","https://cdn02.dm-static.com/images/mediacatalog/h4010355387868-1324465/productimage_170x260/1508326456000/4010355387868-1324465_org.png","3,95 €","DmBotItem","Rebalancing Tagespflege"
"4010355387882","https://cdn02.dm-static.com/images/mediacatalog/h4010355387882-1327471/productimage_170x260/1508320157000/4010355387882-1327471_org.png","3,95 €","DmBotItem","Rebalancing Nachtcreme"
"4010355246363","https://cdn02.dm-static.com/images/mediacatalog/h4010355246363-802763/productimage_170x260/1507281029000/4010355246363-802763_org.png","0,85 €","DmBotItem","Hand & Nagel Balsam Kamille"
"4010355340290","https://cdn02.dm-static.com/images/mediacatalog/h4010355340290-1265158/productimage_170x260/1507284038000/4010355340290-1265158_org.png","1,35 €","DmBotItem","Professional Spülung Oil Repair Schwerelos "
"4010355340511","https://cdn02.dm-static.com/images/mediacatalog/h4010355340511-1259669/productimage_170x260/1508220750000/4010355340511-1259669_org.png","1,35 €","DmBotItem","Professional Shampoo Ansatz + Spitzen "
"4010355235855","https://cdn02.dm-static.com/images/mediacatalog/h4010355235855-1191465/productimage_170x260/1507189220000/4010355235855-1191465_org.png","2,95 €","DmBotItem","Tagespflege summer active Gesichtspflege"
"4010355320582","https://cdn02.dm-static.com/images/mediacatalog/h4010355320582-1157369/productimage_170x260/1508150547000/4010355320582-1157369_org.png","3,95 €","DmBotItem","Tattoo farberh. Pflegelotion"
"4010355300188","https://cdn02.dm-static.com/images/mediacatalog/h4010355300188-1207162/productimage_170x260/1507715889000/4010355300188-1207162_org.png","2,95 €","DmBotItem","Tagespflege Q10 Schützende Tagescreme LSF 30"
"4010355332790","https://cdn02.dm-static.com/images/mediacatalog/h4010355332790-1129878/productimage_170x260/1507271034000/4010355332790-1129878_org.png","4,45 €","DmBotItem","Rasierer revolution 5.1"
"4010355206763","https://cdn02.dm-static.com/images/mediacatalog/h4010355206763-1033447/productimage_170x260/1513171717000/4010355206763-1033447_org.png","1,75 €","DmBotItem","Körperlotion Creme-Öl Bodylotion Mandelöl"
"4010355268136","https://cdn02.dm-static.com/images/mediacatalog/h4010355268136-1032029/productimage_170x260/1509088513000/4010355268136-1032029_org.png","2,75 €","DmBotItem","Frischesohlen - weiß - Größe: 39 - 41, 8 Paar"
"4010355268112","https://cdn02.dm-static.com/images/mediacatalog/h4010355268112-1032028/productimage_170x260/1509088538000/4010355268112-1032028_org.png","2,75 €","DmBotItem","Frischesohlen - weiß - Größe: 36 - 38, 8 Paar"
"25784299","https://cdn02.dm-static.com/file/mediacatalog/h25784299_Vorderseite/productimage_170x260/1507127447000/25784299_Vorderseite.jpg_org.png","4,95 €","DmBotItem","Faultier-Box"
"4010355197481","https://cdn02.dm-static.com/images/mediacatalog/h4010355197481-1013726/productimage_170x260/1507103155000/4010355197481-1013726_org.png","2,45 €","DmBotItem","Nachtcreme VITAL Regenerierende Nachtcreme"
"4010355267313","https://cdn02.dm-static.com/images/mediacatalog/h4010355267313-1025861/productimage_170x260/1507104047000/4010355267313-1025861_org.png","3,55 €","DmBotItem","Augen Pads Q10 Anti-Falten"
"4010355235671","https://cdn02.dm-static.com/images/mediacatalog/h4010355235671-1131717/productimage_170x260/1508158656000/4010355235671-1131717_org.png","1,35 €","DmBotItem","Shampoo Anti-Schuppen power effect"
